time (us),x (mdps),y (mdps),z(mdps)
1759266320098898,297.5,-560,113.75,
1759266320101730,595,-542.5,105,
1759266320104675,787.5,-595,-236.25,
1759266320107800,1198.75,-1076.25,-70,
1759266320110641,1540,-743.75,-437.5,
1759266320113481,1785,-787.5,-297.5,
1759266320116233,1478.75,-761.25,-87.5,
1759266320119021,1137.5,-315,-70,
1759266320122143,1032.5,-385,78.75,
1759266320125023,1225,-840,35,
1759266320127806,1400,-603.75,516.25,
1759266320130471,1496.25,-892.5,516.25,
1759266320133202,1137.5,-708.75,805,
1759266320135889,1216.25,-551.25,1093.75,
1759266320138793,1303.75,-481.25,1260,
1759266320141918,866.25,-288.75,1408.75,
1759266320144534,595,-393.75,1426.25,
1759266320147201,568.75,-350,1408.75,
1759266320149885,568.75,-603.75,1741.25,
1759266320152718,656.25,-883.75,1461.25,
1759266320155849,822.5,-516.25,1662.5,
1759266320158800,778.75,-901.25,1356.25,
1759266320161471,901.25,-638.75,1391.25,
1759266320164064,1093.75,-743.75,1391.25,
1759266320166628,1146.25,-647.5,1531.25,
1759266320169362,1225,-770,1312.5,
1759266320172247,1461.25,-761.25,1163.75,
1759266320175806,1303.75,-743.75,1032.5,
1759266320178410,1111.25,-1093.75,1190,
1759266320180914,1207.5,-1190,910,
1759266320183481,796.25,-1015,1190,
1759266320185996,420,-1041.25,568.75,
1759266320189016,446.25,-848.75,883.75,
1759266320192118,288.75,-1102.5,437.5,
1759266320194656,455,-857.5,253.75,
1759266320197213,437.5,-481.25,376.25,
1759266320199783,306.25,-568.75,35,
1759266320202454,113.75,-778.75,157.5,
1759266320205559,262.5,-385,131.25,
1759266320208325,332.5,-393.75,323.75,
1759266320210990,-122.5,-630,43.75,
1759266320213613,-26.25,-612.5,-96.25,
1759266320216181,245,-875,-350,
1759266320219011,227.5,-586.25,-341.25,
1759266320221832,586.25,-717.5,-280,
1759266320224488,507.5,-533.75,-140,
1759266320227100,358.75,-691.25,-673.75,
1759266320229709,717.5,-647.5,-630,
1759266320232448,682.5,-901.25,-857.5,
1759266320235432,638.75,-892.5,-647.5,
1759266320238273,463.75,-866.25,-892.5,
1759266320241189,892.5,-953.75,-385,
1759266320243756,253.75,-988.75,-376.25,
1759266320246223,227.5,-735,-297.5,
1759266320248771,210,-376.25,-385,
1759266320251621,358.75,-288.75,-96.25,
1759266320254359,262.5,122.5,-131.25,
1759266320257151,367.5,-437.5,297.5,
1759266320259766,472.5,-568.75,376.25,
1759266320262444,612.5,-280,481.25,
1759266320265088,358.75,-131.25,638.75,
1759266320267765,708.75,-113.75,498.75,
1759266320270641,945,-70,656.25,
1759266320273416,822.5,-140,385,
1759266320275974,980,-358.75,428.75,
1759266320278566,1067.5,-428.75,315,
1759266320281101,840,-385,227.5,
